"vc","immunity"
0.370716487715594,0.302522790472174
0.454074266298514,0.395179401749255
0.431593933069759,0.366844278712805
0.425560053334587,0.356761798922454
0.40295651756982,0.32895670257043
0.381800437708134,0.303439030917491
0.361917084422605,0.279967415126744
0.34317736293732,0.258348696549828
0.325480995784394,0.238420396291906
0.308746855538996,0.220041217966906
0.292907063837664,0.203085580215894
0.277903233628206,0.187440293702455
0.32150611302744,0.238289342833797
0.311999600105899,0.228296292432196
0.29564796760334,0.21051760181573
0.410569274306838,0.342027111786787
0.424505427873169,0.355803078381764
0.4027402847645,0.329094463363662
0.421525956383883,0.348793862219135
0.398782860373237,0.321288158360252
0.377657427231037,0.296209776702944
0.357879147239775,0.273215538459757
0.33927948327317,0.252073074219853
0.32173924388434,0.23260314161968
0.305167378179078,0.214657308615525
