"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Kisaka","Nyiboko","Nyiboko",666193.180955412,9830479.47527726,0,361,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-10-15,"+/- 28 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,22,653
"Serengeti","Rung'abure","Rung'abure","Rung'abure",679743.420229706,9807047.12549588,3603,3619,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-04-27,"0","false",NA,"",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,77,2337
"Serengeti","Rung'abure","Rung'abure","Rung'abure",679828.778368098,9808349.48951355,3623,3622,"Domestic dog","","Known","Yes",TRUE,"Vaccinated","true",2008-04-05,"0","true",2008-08-27,"0",NA,"",3,"","Died","Not applicable","","",TRUE,FALSE,80,2431
"Serengeti","Rung'abure","Rung'abure","Rung'abure",679721.103767842,9807814.74154885,3624,3623,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-03-25,"+/- 7 days","true",2008-04-05,"0",1,"Week",3,"Day","Died","Not applicable","","",TRUE,FALSE,76,2287
"Serengeti","Kisaka","Nyiboko","Nyiboko",664771.296718471,9831477.90687185,366,365,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-10-15,"+/- 7 days","true",2003-12-07,"0",6,"Week",NA,"","Tied","Not applicable","","",TRUE,FALSE,24,706
"Serengeti","Kisaka","Nyiboko","Nyiboko",663966.855956554,9831995.25824728,0,366,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-10-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,22,653
"Serengeti","Kisaka","Buchanchari","Buchanchari",662397.380940379,9831730.76959936,0,367,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-08-25,"+/- 7 days",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,20,602
"Serengeti","Rung'abure","Rung'abure","Rung'abure",675765.146608127,9808699.49257426,0,3679,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2008-05-07,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,77,2319
"Serengeti","Sedeco","Nyamburi","Nyamburi",696412.140766355,9801948.61511307,0,3685,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-07-12,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,79,2385
"Serengeti","Mbalibali","Tamkeri","Tamkeri",697817.965777654,9803414.48216652,0,3686,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-04-09,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,76,2291
"Serengeti","Kisaka","Buchanchari","Buchanchari",662818.337466338,9828973.19852034,0,369,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2003-10-22,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,22,660
"Serengeti","Kenyamonta","Nyagasense","Nyagasense",645234.850816809,9812240.7229401,0,370,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2003-12-03,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,24,702
"Serengeti","Uwanja wa Ndege","Ngarawani","Ngarawani",680762.474655727,9799574.01880522,0,3703,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-07-11,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,79,2384
"Serengeti","Magange","Magange","Magange",647863.667009167,9806459.40969792,372,371,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-05-15,"+/- 7 days","true",2003-11-15,"+/- 7 days",NA,"",NA,"","Tied then killed","Buried","","",TRUE,FALSE,23,684
"Serengeti","Ikoma","Robanda","Robanda",688020.754249065,9761327.75240827,0,3716,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2008-12-05,"0","true",2009-01-09,"0",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,85,2566
"Serengeti","Magange","Magange","Magange",647564.154789552,9807008.23213673,0,372,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-05-15,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,17,500
"Serengeti","Sedeco","Mbirikiri","Mbirikili",700763.933805542,9794891.68435319,3780,3722,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-06-20,"+/- 7 days","true",2008-07-31,"0",NA,"",7,"Day","Tied","Not applicable","","",TRUE,FALSE,79,2404
"Serengeti","Sedeco","Bonchugu","Bonchugu",700761.985131211,9794148.9090734,0,3726,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2008-11-15,"0",NA,"",2,"Day","Killed","Not applicable","","",TRUE,FALSE,83,2511
"Serengeti","Sedeco","Bonchugu","Bonchugu",699422.757231617,9793821.76673433,0,3728,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-12-15,"+/- 28 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,84,2541
"Serengeti","Sedeco","Bonchugu","Bonchugu",696265.37784476,9794095.26466724,0,3742,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-08-02,"0",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,80,2406
"Serengeti","Sedeco","Bonchugu","Bonchugu",697313.566709945,9794779.79564347,0,3743,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-08-02,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,80,2406
"Serengeti","Sedeco","Bonchugu","Bonchugu",698290.568799978,9789018.65758751,0,3756,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-07-20,"0","true",2008-07-21,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,79,2394
"Serengeti","Sedeco","Mbirikiri","Mbirikili",700372.161451986,9793827.17083658,0,3780,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-06-15,"+/- 28 days","true",2008-06-20,"+/- 7 days",4,"Day",5,"Day","Died","Not applicable","","",TRUE,FALSE,78,2363
"Serengeti","Machochwe","Machochwe","Machochwe",686638.211178011,9818741.1287097,3783,3787,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2008-08-03,"0","true",2008-08-04,"0",NA,"",3,"Day","Died","Buried","","",TRUE,FALSE,80,2408
"Serengeti","Majimoto","Majimoto","Majimoto",648203.880174849,9817556.53042764,0,3789,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2006-10-25,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,58,1759
"Serengeti","Kisaka","Borenga","Borenga",667021.942008131,9831452.51171219,0,3790,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-03-15,"+/- 28 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,75,2266
"Serengeti","Mosongo","Kenokwe","Kenokwe",669373.243675043,9792448.23579698,0,3791,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-08-17,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,80,2421
"Serengeti","Mosongo","Kenokwe","Kenokwe",665251.130057889,9791688.55205929,0,3793,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2008-06-03,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,78,2346
"Serengeti","Kenyamonta","Mesaga","Mesaga",648943.103650079,9813831.26316864,0,3796,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-07-24,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,79,2397
"Serengeti","Kenyamonta","Mesaga","Mesaga",648888.776728378,9814790.023019,0,3797,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2006-11-19,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,59,1784
"Serengeti","Nyamatare","Nyamatare","Nyamatare",656986.83645648,9803711.99860339,0,3799,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2008-08-02,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,80,2406
"Serengeti","Ring'wani","Ring'wani","Ring'wani",653724.87048815,9810340.49804013,0,380,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-04-20,"0","true",2003-11-15,"+/- 7 days",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,23,684
"Serengeti","Nyamatare","Kemgesi","Kemgesi",655310.687443401,9803643.98160886,0,3801,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2004-11-11,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,35,1046
"Serengeti","Rung'abure","Rung'abure","Rung'abure",678125.411204275,9807890.60686277,0,3803,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-05-05,"+/- 7 days",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,77,2317
"Serengeti","Sedeco","Mbirikiri","Mbirikili",701544.788375848,9794957.06667179,0,3806,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2008-09-04,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,81,2439
"Serengeti","Ring'wani","Ring'wani","Ring'wani",655126.326481914,9810663.63350505,380,381,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-11-15,"+/- 7 days","true",2003-11-25,"+/- 7 days",1,"Week",NA,"","Killed","Not applicable","","",TRUE,FALSE,23,694
"Serengeti","Mosongo","Kenokwe","Kenokwe",670909.585400031,9789223.6332812,0,3821,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2007-12-01,"0","false",NA,"",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,72,2189
"Serengeti","Mosongo","Kenokwe","Kenokwe",665094.713746796,9795072.89884892,0,3822,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2008-02-14,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,74,2236
"Serengeti","Geitasamo","Nyamoko","Nyamoko",680936.858972254,9804038.7109049,0,3825,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2008-03-12,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,75,2263
"Serengeti","Issenye","Nyamasingisi","Nyamisingisi",645704.717603451,9781125.47605102,0,3826,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2005-11-09,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,47,1409
"Serengeti","Issenye","Nyiberekera","Nyiberekera",649917.752114799,9779614.84897819,0,3827,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2007-05-23,"0",NA,"",NA,"","Killed","Thrown","","",TRUE,FALSE,65,1969
