"District","Ward","Village","Village.2002","UTM.Easting","UTM.Northing","Biter.ID","ID","Species","Other.species","Owner","Suspect","Rabid","Vaccination","Date.bitten.known","Date.bitten","Date.bitten.uncertainty","Symptoms.started.known","Symptoms.started","Symptoms.started.accuracy","Incubation.period","Incubation.period.units","Infectious.period","Infectious.period.units","Outcome","Action","Lateral.flow.test","Lateral.flow.test.date","Carnivore","Duplicated","month","day"
"Serengeti","Nyamatare","Nyamatare","Nyamatare",655396.293035849,9803782.41027036,0,7138,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-10,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,124,3753
"Serengeti","Rung'abure","Gesarya","Gesarya",677501.515681942,9812065.4671798,498,714,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-02-05,"0","true",2004-03-15,"+/- 28 days",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,27,805
"Serengeti","Nyamatare","Kemgesi","Kemgesi",655418.162279112,9803514.22462996,0,7141,"Cat","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-02,"0",NA,"",NA,"","Died","Buried","","",TRUE,FALSE,124,3745
"Serengeti","Nyamatare","Kemgesi","Kemgesi",657269.863925529,9803550.43975236,0,7142,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-03-31,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,123,3743
"Serengeti","Nyamatare","Kemgesi","Kemgesi",655373.741691784,9804496.38356142,0,7144,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-02-25,"+/- 7 days","true",2012-04-03,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,124,3746
"Serengeti","Majimoto","Nyamakobiti","Nyamakobiti",651009.234971748,9821067.98280631,0,7147,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-03-25,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,123,3737
"Serengeti","Rung'abure","Gesarya","Gesarya",677424.3971834,9810762.14938496,498,715,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2004-02-05,"0","true",2004-03-15,"+/- 28 days",NA,"",NA,"","Died","Not applicable","","",TRUE,FALSE,27,805
"Serengeti","Rung'abure","Gesarya","Gesarya",679332.782908576,9812383.93159669,0,716,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2004-04-15,"+/- 7 days",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,28,836
"Serengeti","Rung'abure","Gesarya","Gesarya",678594.536856482,9813312.51112507,0,718,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2004-04-15,"+/- 7 days",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,28,836
"Serengeti","Magange","Masinki","Masinki",651505.147366332,9807225.73765469,7187,7186,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-01-25,"+/- 7 days","true",2012-04-29,"0",NA,"",3,"Day","Killed","Buried","","",TRUE,FALSE,124,3772
"Serengeti","Rung'abure","Gesarya","Gesarya",680038.6617118,9810108.26104465,262,719,"Domestic dog","","Known","Yes",TRUE,"Vaccinated","true",2003-12-01,"0","true",2003-12-15,"+/- 7 days",2,"Week",NA,"","Died","Not applicable","","",TRUE,FALSE,24,714
"Serengeti","Rung'abure","Gesarya","Gesarya",681838.199479392,9810355.54653508,262,720,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-12-01,"0","true",2003-12-21,"0",20,"Day",4,"Day","Killed","Not applicable","","",TRUE,FALSE,24,720
"Serengeti","Nyamatare","Nyamatare","Nyamatare",658463.955771008,9802270.83623146,7201,7200,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-01-10,"+/- 7 days","true",2012-04-29,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,124,3772
"Serengeti","Morotonga","Morotonga","Morotonga",684383.10890365,9792025.85898016,7214,7213,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-03-15,"+/- 7 days","true",2012-05-06,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,125,3779
"Serengeti","Uwanja wa Ndege","Ngarawani","Ngarawani",680781.619699788,9797275.34961633,0,7217,"Wildlife: Jackal","","Not applicable","Yes",TRUE,"Not applicable","false",NA,"","true",2012-05-06,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,125,3779
"Serengeti","Rung'abure","Gesarya","Gesarya",679623.229902907,9810052.3681247,0,722,"Domestic dog","","Unknown","Yes",TRUE,"Unknown","false",NA,"","true",2003-12-25,"0",NA,"",NA,"","Disappeared","Not applicable","","",TRUE,FALSE,24,724
"Serengeti","Mbalibali","Tamkeri","Tamkeri",696905.764901153,9803564.66576788,0,7224,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-04-19,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,124,3762
"Serengeti","Sedeco","Nyamburi","Nyamburi",694823.719707159,9801441.30811769,0,7225,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-05-12,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,125,3785
"Serengeti","Kyambahi","Bokore","Bokore",680329.953239105,9781896.61933925,7237,7236,"Domestic dog","","Known","Yes",TRUE,"Vaccinated after bite","true",2012-05-11,"0","true",2012-05-17,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,125,3790
"Serengeti","Kyambahi","Bokore","Bokore",679963.781461857,9781401.74039291,7285,7237,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-04-15,"0","true",2012-05-11,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,125,3784
"Serengeti","Mbalibali","Tamkeri","Tamkeri",697943.412760133,9803486.56337684,0,7239,"Domestic dog","","Known","Yes",TRUE,"Unknown","false",NA,"","true",2012-05-12,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,125,3785
"Serengeti","Rung'abure","Nyamerama","Nyamerama",683968.791382563,9806375.62491196,0,7240,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","false",NA,"","true",2012-05-21,"0",NA,"",NA,"","Killed","Not applicable","","",TRUE,FALSE,125,3794
"Serengeti","Rung'abure","Gesarya","Gesarya",682496.167972674,9813151.75330016,728,726,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-11-05,"+/- 7 days","true",2003-11-15,"+/- 7 days",1,"Week",7,"Day","Killed","Not applicable","","",TRUE,FALSE,23,684
"Serengeti","Ring'wani","Nyamitita","Nyamitita",662346.300528333,9819680.37506581,7269,7268,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2012-02-15,"+/- 7 days","true",2012-03-30,"0",NA,"",NA,"","Killed","Consumed","","",TRUE,FALSE,123,3742
"Serengeti","Rung'abure","Gesarya","Gesarya",682876.842525777,9812904.82743952,728,727,"Domestic dog","","Known","Yes",TRUE,"Not vaccinated","true",2003-11-05,"+/- 7 days","true",2003-11-15,"+/- 7 days",1,"Week",5,"Day","Killed","Not applicable","","",TRUE,FALSE,23,684
"Serengeti","Ring'wani","Ring'wani","Ring'wani",655421.254043641,9810535.83893945,0,7272,"Domestic dog","","Known","Yes",TRUE,"Unknown","true",2012-05-05,"+/- 7 days","true",2012-05-28,"0",NA,"",NA,"","Killed","Buried","","",TRUE,FALSE,125,3801
