"dogsVax","dogsImmune","vc","immunity"
10789.9105302495,8056.65246107586,0.210787576582347,0.157391689474659
16450.6738161522,14297.6486420552,0.320500386432868,0.278554055965829
15597.8116876979,13203.0015964341,0.303058190580259,0.256528149855754
14807.1501967557,12204.5133166544,0.286913583366306,0.236483091100834
14067.0883038349,11287.494652479,0.271832202539315,0.218119376679937
13370.6685069585,10442.5284584566,0.25767166405296,0.201242270228341
12713.085747199,9662.54258534256,0.244332452571058,0.185704145704294
12090.756301825,8941.78071381725,0.231739502887739,0.171384135601047
11500.8609744164,8275.32655603328,0.219833143103702,0.158178683410669
10941.0889402173,7658.85312162448,0.208564007879887,0.14599653759671
10409.4826768809,7088.47935097415,0.197889954699124,0.134755866472153
9904.33937944764,6560.68259066424,0.187774100197397,0.124382477512741
