"cellID","Region","District","Ward","WardID","Village","VillageID"
3197,"Mara","Serengeti","Kyambahi",9,"Nyichoka",75
3198,"Mara","Serengeti","Kyambahi",9,"Bokore",2
3199,"Mara","Serengeti","Kyambahi",9,"Bokore",2
3200,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3201,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3202,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3203,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3204,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3205,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3206,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3207,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3208,"Mara","Serengeti","Ikoma",3,"Park Nyigoti",77
3209,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3210,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3211,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3212,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3213,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3214,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3215,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3216,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3217,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3218,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3219,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3220,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3221,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3222,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3223,"Mara","Serengeti","Sedeco",26,"Bonchugu",3
3224,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3225,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3226,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3227,"Mara","Serengeti","Issenye",4,"Nyiberekera",73
3228,"Mara","Serengeti","Issenye",4,"Iharara",13
3229,"Mara","Serengeti","Issenye",4,"Iharara",13
3230,"Mara","Serengeti","Issenye",4,"Iharara",13
3231,"Mara","Serengeti","Issenye",4,"Iharara",13
3232,"Mara","Serengeti","Issenye",4,"Iharara",13
3233,"Mara","Serengeti","Issenye",4,"Iharara",13
3234,"Mara","Serengeti","Issenye",4,"Iharara",13
3235,"Mara","Serengeti","Issenye",4,"Iharara",13
3236,"Mara","Serengeti","Issenye",4,"Iharara",13
3237,"Mara","Serengeti","Issenye",4,"Singisi",84
3238,"Mara","Serengeti","Issenye",4,"Singisi",84
3239,"Mara","Serengeti","Issenye",4,"Singisi",84
3240,"Mara","Serengeti","Natta",18,"Motukeri",53
3241,"Mara","Serengeti","Natta",18,"Motukeri",53
3242,"Mara","Serengeti","Natta",18,"Motukeri",53
