"","id_case","id_biter","x_coord","y_coord","owned","date_symptoms","days_uncertain"
"68",2005,0,659915.19501805,9824245.32110331,FALSE,2005-08-05,7
"69",2012,0,646166.238096808,9817932.00464476,FALSE,2005-05-15,28
"70",2018,0,641540.893681685,9810228.03623864,FALSE,2005-06-22,0
"71",2063,0,642317.68622536,9799517.80228547,FALSE,2005-07-27,0
"72",2145,0,677650.801801717,9788617.68981802,TRUE,2005-11-15,28
"73",2165,0,651531.695204626,9785128.97972668,TRUE,2005-01-10,0
"74",2175,0,649331.545890716,9779862.85760289,FALSE,2002-09-15,28
"75",2190,0,703073.465103007,9800479.04168418,FALSE,2005-12-10,0
"76",2243,0,648715.88823836,9818710.15341619,TRUE,2002-08-15,28
"77",2244,0,647828.643716957,9821619.8167048,TRUE,2004-03-17,0
"78",2246,0,658806.845370588,9824499.6426185,FALSE,2005-08-05,7
"79",2258,0,671027.483514801,9792900.49187031,TRUE,2005-08-15,28
"80",2275,0,667349.774058815,9815253.443349,TRUE,2005-06-05,7
"81",231,0,700202.865701773,9795238.19799435,FALSE,2002-01-07,0
"82",234,0,697429.424593735,9794182.96841971,FALSE,2002-05-15,28
"83",2357,0,689739.697140577,9801179.19732227,TRUE,2006-03-30,0
"84",2397,0,671150.587755286,9783619.6840916,TRUE,2006-04-24,0
"85",2421,0,690107.996043307,9812874.12372559,TRUE,2006-06-01,0
"86",2432,0,690525.808144619,9815192.94668448,TRUE,2004-04-17,0
"87",2530,0,670782.229734166,9819011.99497874,TRUE,2005-12-15,28
"88",2809,0,663908.637463665,9827601.61140314,FALSE,2006-12-24,0
"89",2829,0,669296.264215542,9830734.93680758,TRUE,2007-01-26,0
"90",3072,0,658653.378021001,9789770.23533811,FALSE,2007-07-05,7
"91",31,0,672458.221069335,9790501.82656255,TRUE,2003-05-29,0
"92",3178,0,642903.04633918,9796709.58710676,TRUE,2007-02-15,28
"93",3179,0,643917.980918585,9798896.17857471,FALSE,2004-04-10,0
"94",33,0,669018.30076238,9797498.31078199,TRUE,2003-06-20,0
"95",3481,0,653675.788461241,9824254.9983242,FALSE,2008-01-05,7
"96",3494,0,641893.046253671,9822471.18495648,TRUE,2006-07-01,0
"97",3496,0,639123.16215,9821657.29160377,TRUE,2004-12-13,0
"98",3503,0,654622.141735284,9781926.35547768,TRUE,2006-04-03,0
"99",351,0,662871.559568658,9772163.32168367,FALSE,2003-09-23,0
"100",3559,0,697945.9021128,9804351.08005151,FALSE,2008-01-16,0
"101",357,0,669393.851596762,9831913.3409493,FALSE,2002-04-15,28
"102",370,0,645234.850816809,9812240.7229401,TRUE,2003-12-03,0
"103",3789,0,648203.880174849,9817556.53042764,FALSE,2006-10-25,7
